"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Country"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"
"Afghanistan","298 [110 - 510]","294 [100 - 530]","175 [60 - 320]","136 [50 - 260]","99 [30 - 200]","117 [30 - 260]","242 [70 - 490]","200 [60 - 410]"
"Algeria","0","0","0","0","0","0","0","1"
"Angola","13 316 [9970 - 16600]","13 197 [9840 - 16600]","13 046 [9640 - 16400]","12 763 [9410 - 16100]","12 399 [9070 - 15700]","12 437 [9050 - 15800]","12 763 [9270 - 16300]","13 351 [9730 - 17000]"
"Argentina","0","0","0","0","0","0","0","0"
"Armenia","0","0","0","0","0","0","0","0"
"Azerbaijan","0","0","0","0","0","0","0","0"
"Bangladesh","76 [3 - 130]","73 [3 - 120]","107 [4 - 180]","132 [5 - 210]","60 [2 - 100]","87 [3 - 140]","250 [10 - 420]","274 [10 - 470]"
"Belize","0","0","0","0","0","0","0","0"
"Benin","7 328 [5740 - 8920]","7 137 [5570 - 8710]","6 872 [5340 - 8410]","6 709 [5190 - 8220]","6 633 [5130 - 8140]","6 940 [5380 - 8500]","7 554 [5900 - 9210]","8 273 [6520 - 10000]"
"Bhutan","0","0","0","0","0","1","1","2"
"Bolivia (Plurinational State of)","2 [0 - 4]","2 [0 - 5]","3 [1 - 7]","5 [1 - 9]","7 [1 - 10]","5 [1 - 9]","5 [1 - 9]","11 [3 - 20]"
"Botswana","7 [0 - 20]","2 [0 - 5]","1 [0 - 2]","5 [0 - 10]","1 [0 - 3]","0 [0 - 1]","1 [0 - 3]","7 [0 - 30]"
"Brazil","30","35","35","36","40","60","70","76"
"Burkina Faso","27 791 [25100 - 30500]","28 453 [25600 - 31400]","29 833 [26500 - 33100]","31 910 [28100 - 35700]","33 414 [29200 - 37600]","37 028 [32100 - 42000]","40 873 [35100 - 46600]","43 695 [37300 - 50100]"
"Burundi","5 253 [4300 - 6200]","5 161 [4220 - 6100]","5 044 [4110 - 5980]","4 964 [4030 - 5900]","4 857 [3930 - 5790]","4 876 [3940 - 5820]","4 724 [3800 - 5660]","4 801 [3840 - 5760]"
"Cabo Verde","1","1","0","2","0","0","1","1"
"Cambodia","345 [30 - 590]","210 [20 - 360]","385 [30 - 660]","410 [30 - 700]","238 [20 - 400]","393 [40 - 670]","657 [50 - 1120]","659 [40 - 1170]"
"Cameroon","11 566 [8900 - 14200]","11 999 [9230 - 14800]","12 445 [9580 - 15300]","12 638 [9710 - 15500]","12 484 [9620 - 15400]","12 301 [9450 - 15200]","11 848 [9060 - 14600]","12 340 [9450 - 15200]"
"Central African Republic","4 804 [3980 - 5640]","4 998 [4130 - 5870]","5 289 [4350 - 6220]","5 668 [4640 - 6690]","6 106 [4990 - 7220]","6 739 [5480 - 7990]","7 426 [6020 - 8830]","8 165 [6590 - 9730]"
"Chad","8 729 [6640 - 10800]","8 900 [6730 - 11100]","9 206 [6950 - 11500]","9 749 [7350 - 12200]","10 632 [8000 - 13300]","11 575 [8700 - 14400]","12 809 [9660 - 16000]","13 695 [10300 - 17000]"
"China","0","0","0","0","0","0","33","19"
"Colombia","0","0","0","17","10","24","23","42"
"Comoros","8 [0 - 10]","2 [0 - 4]","3 [0 - 5]","5 [0 - 8]","134 [5 - 210]","126 [5 - 200]","61 [2 - 100]","90 [3 - 140]"
"Congo","1 993 [1790 - 2190]","1 996 [1780 - 2210]","2 001 [1780 - 2220]","2 000 [1770 - 2230]","1 994 [1760 - 2230]","1 951 [1720 - 2180]","1 948 [1710 - 2190]","1 962 [1710 - 2210]"
"Costa Rica","0","0","0","0","0","0","0","0"
"Côte d'Ivoire","9 579 [8090 - 11100]","9 579 [8080 - 11100]","9 800 [8220 - 11400]","9 793 [8200 - 11400]","10 871 [9020 - 12700]","12 502 [10300 - 14700]","14 960 [12200 - 17700]","16 925 [13800 - 20000]"
"Democratic People's Republic of Korea","0","0","0","0","0","0","0","0"
"Democratic Republic of the Congo","46 007 [35400 - 56600]","46 408 [35600 - 57200]","46 276 [35500 - 57000]","46 449 [35600 - 57300]","46 747 [35800 - 57600]","48 763 [37300 - 60200]","53 765 [41200 - 66300]","62 375 [48100 - 76600]"
"Djibouti","0","5","23","28","17","0","0","0"
"Dominican Republic","1 [0 - 1]","2 [0 - 4]","1 [0 - 3]","1 [0 - 2]","1 [0 - 3]","3 [0 - 5]","5 [0 - 8]","10 [0 - 20]"
"Ecuador","0","0","0","0","0","0","0","0"
"Egypt","0","0","0","0","0","0","4","2"
"El Salvador","0","0","0","0","0","0","0","0"
"Equatorial Guinea","669 [530 - 810]","728 [580 - 880]","807 [640 - 970]","919 [730 - 1110]","1 017 [810 - 1220]","1 067 [850 - 1280]","1 079 [860 - 1300]","1 047 [840 - 1260]"
"Eritrea","222 [10 - 460]","198 [7 - 440]","129 [6 - 270]","227 [10 - 470]","88 [5 - 180]","85 [6 - 180]","142 [9 - 290]","161 [9 - 330]"
"Eswatini","1 [0 - 2]","0 [0 - 1]","0","1 [0 - 2]","2 [0 - 3]","1 [0 - 2]","1 [0 - 2]","0 [0 - 1]"
