"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","29.01","27.07","26.11","14.91","12.67","9.01","11.15","18.87","15.11","14.77","17.84","21.55","20.53","27.08","37.64","68.41","104.01","91.89","95.54"
"Algeria","0","0","0","0","0","0","0.03","0","0","0","0","0.01","0","0","0","0","0.01","0","0.02"
"Angola","228.91","228.91","219.99","199.99","187.94","180.9","174.43","175.99","185.52","204.35","241.19","286.72","313.81","323.69","319.66","315.35","312.3","328.28","324.44"
"Argentina","0","0","0","0","0","0","0","0","0.07","0.42","0.65","1.95","1.08","1.3","0.6","0.64","0.66","1.15","2.39"
"Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.01","0.02","0.03","0.05"
"Azerbaijan","0","0","0","0","0","0","0.01","0.02","0.24","0.38","0.35","0.54","0.72","1.23","1.99","2.51","2.66","5.61","8.17"
"Bangladesh","0.69","1.95","1.86","2.72","3.3","1.54","2.2","3.95","4.33","8.17","7.8","4.89","4.52","6.05","6.24","6.44","6.67","6.91","7.18"
"Belize","0.01","0.03","0.02","0.04","0.08","0.08","0.14","0.32","0.67","1.18","2.55","4.1","4.2","7.91","5.6","5.83","6.26","6.6","8.71"
"Benin","386.18","399.56","421.58","411.82","399.24","395","378.03","370.11","387.76","417.96","453.17","480.24","492.73","487.04","475.38","454.31","435.07","428.66","410.94"
"Bhutan","0.01","0.02","0.03","0.06","0.04","0.03","0.16","0.44","1.04","1.94","0.66","1.61","3.84","3.8","5.65","8.19","14.28","13.39","13.57"
"Bolivia (Plurinational State of)","1.41","1.22","1.5","1.89","2.25","2.26","2.33","2.09","4.09","2.98","3","4.57","8.18","8.88","4.91","6.82","4.98","5.74","11.95"
"Botswana","0.59","2.05","0.81","0.37","1.5","0.53","0.22","0.51","1.69","2.1","1.93","1.03","4.01","1.25","1.04","1.63","3.28","7.03","17.88"
"Brazil","5.12","5.23","3.22","3.88","3.6","4.82","6.38","7.08","9.81","8.36","8.61","13.85","15.29","17.42","13.83","12.62","11.17","12.99","21.44"
"Burkina Faso","398.73","399.94","401.73","400.09","436.06","487.52","527.54","539.56","551.24","552.03","533.39","503.8","493.78","506.78","537.01","566.27","580.57","588.45","589.33"
"Burundi","250.27","250.27","225.74","165.5","141.51","140.59","153.93","184.15","210.2","220.65","222.77","222.92","235.68","262.05","307.77","355.74","391.07","431.24","442.66"
"Cabo Verde","0.01","3.03","0.35","0.05","0.19","0.17","0.01","0.05","0.37","0.51","0.28","0.15","0.66","0.56","0.38","0.58","0.66","0.94","1.29"
"Cambodia","23.69","17.9","11.13","19.94","22.26","15.89","24.88","35.79","34.91","42.77","21.89","19.76","45.95","41.41","43.62","51.13","39.05","44.3","77.84"
"Cameroon","246.99","262.23","264.31","254.5","244.08","243.04","245.13","265.1","295.53","322.98","358.72","386.68","403.13","412.07","411.64","394.6","383.4","387.01","386.33"
"Central African Republic","347.33","347.33","362.02","379.91","393.04","406.82","413.09","419.33","434.51","448.45","461.79","471.11","472.63","472.1","470.99","461.47","454.36","456.57","458.76"
"Chad","164.83","172.3","169.93","167.28","170.27","179.35","195.34","210.48","225.94","222.91","215.1","210.71","205.63","198.92","195.46","203.94","211.38","244.99","241.79"
"China","0","0","0","0","0","0","0","0.01","0.01","0.02","0.03","0.05","0.06","0.04","0.05","0.05","0.05","0.04","0.01"
