"","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases"
"Country"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","161778","139087","86895","61362","39263","54840","77549","69397","64880","81574","92202","86129","116444","242022","360940","415356","50850","94475"
"Algeria","0","0","0","0","8","55","1","1","0","3","288","117","299","163","427","307","435","541"
"Angola","3874892","3794253","2769305","2298979","1999868","1496834","1632282","1682870","1573422","1377992","1533485","1082398","889572","","","","",""
"Argentina","0","0","0","0","0","0","0","14","86","130","387","212","252","115","122","125","215","440"
"Armenia","0","0","0","0","0","0","0","0","0","0","0","0","7","47","29","52","79","141"
"Azerbaijan","0","0","0","0","0","3","4","50","78","72","108","143","242","386","482","506","1058","1526"
"Bangladesh","4893","4787","6608","10216","3864","9901","51773","55873","63873","84690","59866","32857","48121","58894","54654","62269","54216","55599"
"Belize","7","4","9","19","20","33","72","150","256","540","845","844","1549","1066","1084","1134","1162","1486"
"Benin","1573163","1324576","1268347","1044235","1078834","705839","422968","","889597","","","","","","","","",""
"Bhutan","24","15","34","19","15","","194","436","972","329","793","1868","1825","2670","3806","6511","5982","5935"
"Bolivia (Plurinational State of)","4572","5542","6874","7401","7301","7415","7143","13769","9743","9748","14610","19725","21442","14910","20343","14276","15765","31469"
"Botswana","1900","716","326","1346","456","193","432","1046","1024","927","390","2548","670","198","591","1640","3720","10510"
"Brazil","189503","124178","138229","139272","168862","242758","267146","334483","309316","315746","458652","549469","606067","465004","408886","348259","388303","613241"
"Burkina Faso","10225459","9779154","7015446","5428655","3769051","3858046","428113","804539","182527","36514","44246","44265","21335","18256","","","",""
"Burundi","7670177","8274062","5159706","4585273","4141387","2151076","1571874","1763447","1185622","876741","1101644","791731","327464","363395","353459","327138","312015","308095"
"Cabo Verde","423","48","7","26","22","1","7","47","65","35","18","80","68","45","68","76","107","144"
"Cambodia","36932","23492","33930","25152","21309","40476","57423","49356","64595","42124","42518","78696","49436","59745","71265","46902","53601","62442"
"Cameroon","1191257","1675264","1162784","","26651","","15212","","","","","","","","","","",""
"Central African Republic","383309","1032764","598833","295088","116300","46759","","","","","","","45973","46869","37896","43093","39164","33411"
"Chad","1962372","1294768","787046","914032","754565","7710","181126","200448","","47757","48288","45155","31668","1360","45195","43933","38287","40078"
"China","0","3","39","56","86","244","3367","4990","9287","16650","29304","35383","21936","27197","28491","25520","21237","8025"
"Colombia","52805","82609","47616","40768","51696","60179","60105","117589","79347","80559","128462","120096","121629","142241","180956","204916","231233","144432"
"Comoros","2274","1066","1300","2203","53156","49840","24856","36538","5982","","","20559","6086","12874","867398","1104310","879032","801784"
